apps,Iteration turn,Denser_Summary,Missing_Entities,pos_ents,neg_ents,neu_ents,#pos_ents,#neg_ents,#neu_ents,#entities,entity density,#raw_tokens,#tokens
robinhood,1,"The Robinhood app, designed to introduce users to the world of trading, has been the subject of discussion for its policies and functionalities. Users have expressed their journey of developing trading skills through the platform, highlighting its user-friendly nature that simplifies the investment process. A notable feature is the ability to trade in crypto currency, which has attracted a diverse user base seeking to invest in digital assets. However, there have been concerns regarding the instant deposit feature, where restrictions have led to frustrations among users who wish to capitalize on market opportunities promptly.",Robinhood app;trading skills;crypto currency;instant deposit,user-friendly nature that simplifies the investment process;trade in crypto currency,instant deposit feature,,2,1,0,3,0.031578947368421054,104,95
robinhood,2,"The Robinhood app has faced criticism for alleged market manipulation, particularly during high-volume trading periods where users found themselves unable to execute trades. Customer service is another pain point, with reports of slow response times exacerbating issues like account restriction. Users have encountered obstacles when attempting to resolve such restrictions, often related to identity verification processes that hinder access to funds and trading capabilities. These challenges have marred the app's reputation, despite its appeal to novice traders.",market manipulation;customer service;account restriction;identity verification,,"market manipulation, particularly during high-volume trading periods;Customer service;account restriction;identity verification processes",,0,4,0,4,0.05128205128205128,86,78
robinhood,3,"While Robinhood's user interface is praised for its simplicity, aiding in option trading for beginners, the app has been embroiled in controversy over security concerns and a class action lawsuit. The lawsuit stems from users' inability to buy certain stocks, perceived as market manipulation. Security issues include data breaches and questionable handling of sensitive information. These incidents have led to a loss of trust among some users, despite the platform's efforts to democratize stock trading.",user interface;option trading;security concerns;class action lawsuit,praised for its simplicity;option trading,"inability to buy certain stocks, perceived as market manipulation;data breaches;questionable handling of sensitive information",,2,3,0,5,0.06666666666666667,86,75
robinhood,4,"Users report platform crashes during crucial trading times, undermining Robinhood's reliability. Accusations of favoring hedge funds and selling user data for profit raise ethical concerns. The app's recent liquidity issues, leading to trading restrictions, have sparked outrage and legal scrutiny. These events question Robinhood's commitment to its users and highlight the need for transparency and stability in trading platforms.",platform crashes;hedge funds;selling user data;liquidity issues,,crashes during crucial trading times;Accusations of favoring hedge funds;selling user data for profit;trading restrictions,,0,4,0,4,0.06779661016949153,69,59
robinhood,5,"Robinhood's vision of financial freedom is challenged by users' experiences with dividend income tracking and requests for a drip loyalty plan. While aiming to empower investors, the app's shortcomings in these areas suggest a gap between user needs and the platform's offerings. Addressing these gaps could reinforce Robinhood's mission and enhance user satisfaction.",financial freedom;dividend income tracking;drip loyalty plan,,dividend income tracking;requests for a drip loyalty plan,,0,2,0,2,0.03773584905660377,62,53
acorn,1,"This app offers a platform for users to engage in saving and investing activities. However, numerous users have expressed dissatisfaction with the customer service, describing it as unhelpful and difficult to reach. There's also frustration over the subscription fee, which some users claim continues to be charged even after attempting to cancel their accounts. The withdrawal process is another point of contention, with complaints about delays and lack of access to funds. Additionally, there are grievances regarding the referral bonus, with users stating that promised bonuses were not received or that the criteria were misleading.",customer service;subscription fee;withdrawal process;referral bonus,,"customer service,;subscription fee,;charged even after attempting to cancel their accounts;withdrawal process;referral bonus",,0,5,0,5,0.05263157894736842,107,95
acorn,2,"Users report issues with account locking, hindering access to funds and causing inconvenience. Security concerns are raised due to the app's request for sensitive documents. Investment returns are criticized for being lower than expected, especially considering the subscription fee. Moreover, there are complaints about automatic investments restarting without user consent, leading to unexpected charges. The referral bonus system is also problematic, with users feeling deceived when bonuses are not honored as advertised.",account locking;security concerns;investment returns;automatic investments,,account locking;app's request for sensitive documents;Investment returns;subscription fee;automatic investments restarting without user consent;referral bonus system,,0,6,0,6,0.08333333333333333,83,72
acorn,3,"The app's user interface is mentioned as confusing and cluttered with ads, complicating account setup and management. Users express disappointment with minimal market gains on their investments, questioning the value of the service. Concerns about fraudulent charges and the app's response to unauthorized transactions are noted, with some users experiencing significant delays in resolving these issues. The automatic investment feature, while intended to facilitate saving, leads to frustration when funds are withdrawn unexpectedly.",user interface;account setup;market gains;fraudulent charges,,"interface is mentioned as confusing and cluttered with ads, complicating account setup and management;minimal market gains;fraudulent charges;response to unauthorized transactions;funds are withdrawn",,0,5,0,5,0.0684931506849315,84,73
acorn,4,"The app's limited investment options leave users wanting more control over their finances. Customer support response times are slow, exacerbating issues like account locking and withdrawal delays. Problems with bank account linking are frequent, causing transaction verification hurdles and unauthorized charges. Despite these issues, some users appreciate the app's concept of rounding up purchases for savings but find the execution lacking in transparency and efficiency.",investment options;customer support response;bank account linking;transaction verification,rounding up purchases for savings,limited investment options;Customer support;account locking;withdrawal delays;bank account linking;unauthorized charges;transaction verification,,1,7,0,8,0.12307692307692308,74,65
acorn,5,"Users criticize the app for late tax document availability, complicating their financial planning. Closing an account is a difficult process, often leading to continued unwanted subscription fees. Hidden fees are a common complaint, with users feeling misled about the cost of using the app. Despite its potential as an investment platform, reliability is questioned due to issues like unresponsive customer support and challenges in accessing invested funds.",tax document availability;account closure difficulty;hidden fees;investment platform reliability,,tax document availability;Closing an account;unwanted subscription fees;Hidden fees;customer support;challenges in accessing invested funds,,0,6,0,6,0.08955223880597014,75,67
calm,1,"This application, designed to assist individuals with anxiety and sleep difficulties, has garnered feedback highlighting the subscription cost as a significant barrier. Users express frustration over the locked content, which restricts access to most features without a paid subscription. Sleep stories, a popular feature, are also behind the paywall, limiting free use. The app's potential for anxiety relief is acknowledged, but the cost factor is a recurring theme in user reviews. Many find the pricing unreasonable for an app aimed at providing relief for conditions like anxiety and sleeplessness, suggesting a more accessible pricing model could be beneficial.",subscription cost;locked content;sleep stories;anxiety relief,potential for anxiety relief,"locked content, which restricts access to most features without a paid subscription;pricing unreasonable;Sleep stories, a popular feature, are also behind the paywall,",,1,3,0,4,0.04081632653061224,112,98
calm,2,"Users are critical of the premium pricing model, which locks essential features such as sleep stories and anxiety relief behind a subscription, making the free version very limited. The app offers a free trial, but users report challenges navigating the user interface to cancel subscriptions, leading to unwanted charges. Payment issues have caused dissatisfaction, with some users experiencing unexpected charges after attempting to cancel. While the app is praised for its content and potential benefits for anxiety and sleep problems, the financial commitment and interface difficulties are significant drawbacks mentioned in user reviews.",premium pricing;free trial;user interface;payment issues,praised for its content and potential benefits for anxiety and sleep problems,"free trial,;unexpected charges after attempting to cancel;locks essential features such as sleep stories;anxiety relief behind a subscription;navigating the user interface to cancel subscriptions",,1,5,0,6,0.06451612903225806,103,93
calm,3,"The app's premium pricing and locked content remain points of contention, with users finding the subscription cost prohibitive. While the meditation content and calming music are appreciated for their quality and effectiveness in improving sleep, customer service issues, particularly regarding payment and subscription cancellations, overshadow these benefits. Users seeking anxiety relief and sleep improvement express frustration with the lack of accessible customer support when facing billing problems. Despite the app's potential to aid with relaxation and mental health, these service-related challenges are a hurdle for many users.",customer service;meditation content;calming music;sleep improvement,meditation content;calming music,premium pricing;locked content;customer service;payment and subscription cancellations,,2,4,0,6,0.06818181818181818,98,88
calm,4,"The app's meditation practices and calming music are valued for contributing to sleep improvement and mental health management. However, users criticize the premium pricing structure that limits access to full content and express difficulties with billing problems when trying to navigate the free trial or cancel subscriptions. The presence of diverse narrators in sleep stories is a positive aspect, yet it's overshadowed by the frustration over locked content and customer service issues. While the app offers benefits for those struggling with anxiety, the financial and service barriers present challenges for users.",meditation practices;billing problems;diverse narrators;mental health,diverse narrators in sleep stories;meditation practices;calming music;offers benefits for those struggling with anxiety,billing problems when trying to navigate the free trial or cancel subscriptions;premium pricing structure that limits access to full content;customer service issues,,4,3,0,7,0.07692307692307693,100,91
calm,5,"The app's soundscapes and breathing exercises are highlighted as effective tools for managing anxiety and enhancing user experience during meditation practices. Despite this, the subscription model continues to be a major drawback due to premium pricing and locked content that hinders full access. Users appreciate the diverse narrators and the potential mental health benefits but face persistent billing problems and interface issues. The need for improved customer service is evident as users seek easier management of their subscriptions. Overall, while the app aids in sleep improvement, its value is diminished by these recurring financial and usability concerns.",soundscapes;breathing exercises;user experience;subscription model,diverse narrators;soundscapes;breathing exercises;aids in sleep improvement,billing problems;interface issues;customer service;premium pricing and locked content that hinders full access.,,4,4,0,8,0.08247422680412371,106,97
headspace,1,"The application in question seems to have a subscription cost associated with its use, which some users find to be a barrier, particularly when seeking meditation guidance. A number of individuals have expressed satisfaction with the app's ability to aid in sleep improvement, suggesting that it has been beneficial in helping them achieve a more restful state. Additionally, there are indications that the app has been utilized for stress management, with varying degrees of success reported by users. The overall sentiment appears to be mixed, with some finding value in the app's offerings, while others are dissuaded by the cost of subscription.",subscription cost;meditation guidance;sleep improvement;stress management,"app's ability to aid in sleep improvement;utilized for stress management, with varying degrees of success",subscription cost,,2,1,0,3,0.029411764705882353,115,102
headspace,2,"Users have noted that the app's user interface is a key factor in their experience, with some finding it helpful and others expressing difficulty in navigation. The availability of free content, or lack thereof, is also a point of contention among users, as some were expecting more accessible features without financial commitment. Despite these concerns, several users have testified to the mental health benefits provided by the app, including better handling of anxiety and enhanced overall well-being. However, these advantages are sometimes overshadowed by frustrations regarding accessibility and usability.",user interface;free content;mental health benefits,"testified to the mental health benefits provided by the app, including better handling of anxiety and enhanced overall well-being",user interface;availability of free content,,1,2,0,3,0.03333333333333333,101,90
headspace,3,"Feedback on customer service has been mixed, with some users experiencing prompt support while others face challenges in communication. The app's variety of content is praised for its breadth and depth, offering a range of options from sleep aids to anxiety management. Users appreciate the personalized experience, which allows them to tailor their journey towards mental wellness. However, the impact of these positive aspects is at times diminished by issues with user interface design and the limited availability of free content, which affects user satisfaction.",customer service;variety of content;personalized experience,personalized experience;variety of content is praised for its breadth and depth,customer service;user interface design;limited availability of free content,,2,3,0,5,0.058823529411764705,95,85
headspace,4,"The daily practice feature of the app is highlighted as a significant contributor to users' emotional stability, with regular use leading to noticeable improvements in mood and stress levels. The guided sessions are particularly lauded for their structure and clarity, providing users with a sense of direction in their meditation journey. While the variety of content and personalized experience continue to be strong points, ongoing concerns about customer service responsiveness and the balance between free and paid content persist, influencing the overall user experience.",daily practice;emotional stability;guided sessions,guided sessions;variety of content;personalized experience;daily practice feature,customer service;balance between free and paid content,,4,2,0,6,0.07142857142857142,92,84
headspace,5,"Users frequently mention the effectiveness of breathing exercises and mindfulness techniques available in the app, citing them as instrumental in achieving calming effects during periods of stress. The structured daily practice and guided sessions contribute to this sense of tranquility, fostering emotional stability over time. While the app's variety of content and ability to personalize the experience remain appreciated, users' perceptions are still impacted by the user interface and the ongoing debate over the value of free versus subscription-based content.",breathing exercises;mindfulness techniques;calming effects,structured daily practice;guided sessions;app's variety of content;ability to personalize the experience;breathing exercises;mindfulness techniques,debate over the value of free versus subscription-based content,,6,1,0,7,0.08641975308641975,88,81
uber,1,"This application, designed to facilitate transportation and delivery services, has been met with a variety of user experiences. Some have encountered less than satisfactory interactions with customer service, which has been a significant point of contention. Others have noted occasional app glitches that can disrupt the service's utility. Additionally, there are mentions of fare discrepancies, where users have observed unexpected charges or changes in fare estimates after booking. These issues have contributed to a mixed reception of the app, with some users expressing frustration over these operational challenges.",customer service;app glitches;fare discrepancies,,customer service;occasional app glitches;fare discrepancies,,0,3,0,3,0.03409090909090909,100,88
uber,2,"Users report frequent driver cancellations and unexpected price surges as recurrent issues. The unpredictability of cancellations often leads to inconvenience and delays, while sudden fare increases strain users' budgets. Additionally, there are grievances about account deactivation without clear justification, leaving users unable to access services and causing further distress. These operational challenges, alongside previously mentioned customer service inadequacies, app glitches, and fare discrepancies, paint a picture of an app that struggles to deliver consistent and reliable service.",driver cancellations;price surges;account deactivation,,driver cancellations;unexpected price surges;account deactivation without clear justification;customer service;app glitches;fare discrepancies,,0,6,0,6,0.07792207792207792,89,77
uber,3,"Safety concerns have surfaced, with some users feeling uneasy about their experiences. Unauthorized charges on users' accounts have also been reported, adding financial worries to the list of user grievances. The app's refund policies have come under scrutiny for not adequately addressing users' issues when services fall short of expectations. These new points, combined with driver cancellations, price surges, account deactivation issues, and the previously identified customer service problems, app glitches, and fare discrepancies, highlight systemic issues within the app's operation.",safety concerns;unauthorized charges;refund policies,,Safety concerns;Unauthorized charges;refund policies;driver cancellations;price surges;account deactivation issues;customer service;app glitches;fare discrepancies,,0,9,0,9,0.1111111111111111,98,81
uber,4,"Navigation errors leading to incorrect pickup or drop-off locations have frustrated users. The lack of accessibility options for disabled individuals is another critical shortfall. Moreover, ride availability has been inconsistent, with some users facing long wait times or no available rides at all. These operational flaws, alongside safety concerns, unauthorized charges, problematic refund policies, frequent driver cancellations, significant price surges, and arbitrary account deactivations, exacerbate the already challenging issues of poor customer service, app glitches, and fare discrepancies.",navigation errors;accessibility options;ride availability,,lack of accessibility options for disabled individuals;long wait times;no available rides;safety concerns;unauthorized charges;problematic refund policies;frequent driver cancellations;significant price surges;arbitrary account deactivations;poor customer service;app glitches;fare discrepancies;Navigation errors,,0,13,0,13,0.16455696202531644,93,79
uber,5,"Complaints extend to vehicle cleanliness and driver professionalism, with some drivers' conduct falling below user expectations. Peak time reliability is another pain point, with users finding it difficult to secure rides during high-demand periods. These shortcomings add to the list of navigation errors, insufficient accessibility options, inconsistent ride availability, safety concerns, unauthorized charges, unsatisfactory refund policies, driver cancellations, price surges, account deactivations, customer service issues, app glitches, and fare discrepancies, cumulatively reflecting a service that often fails to meet user needs.",vehicle cleanliness;driver professionalism;peak time reliability,,vehicle cleanliness;driver professionalism;secure rides during high-demand periods;navigation errors;accessibility options;ride availability;safety concerns;unauthorized charges;refund policies;driver cancellations;price surges;account deactivations;customer service;app glitches;fare discrepancies,,0,15,0,15,0.18292682926829268,99,82
lyft,1,"The application in question provides a service that is generally seen as a necessity for individuals who do not possess their own mode of transportation. While it offers a certain level of convenience, there are notable concerns regarding its operation. Users have reported instances of what they perceive as price gouging, where the cost of a service can unexpectedly increase under certain conditions such as inclement weather or high demand periods. Additionally, there are grievances about unauthorized charges appearing on users' accounts, leading to frustration and financial inconvenience. Another point of contention is the frequency of driver cancellations, which can disrupt users' plans and contribute to a negative experience. Lastly, the effectiveness of the customer service provided by the application is called into question, with users expressing dissatisfaction with the support received during dispute resolution.",price gouging;unauthorized charges;driver cancellation;customer service,level of convenience,price gouging;unauthorized charges appearing on users' accounts;driver cancellations;customer service,,1,4,0,5,0.037037037037037035,150,135
lyft,2,"Users have encountered technical issues with the app, including crashes that disrupt service and lead to booking challenges. Complaints about being double charged for rides add to the financial concerns, exacerbating the dissatisfaction with the app's billing practices. Comparisons with other ride-sharing services suggest competitive discrepancies, with some users finding alternatives more reliable or cost-effective. Safety concerns are also prevalent, with reports of drivers behaving inappropriately or creating uncomfortable situations for passengers. These issues, combined with previous mentions of price gouging, unauthorized charges, frequent driver cancellations, and poor customer service, paint a picture of an app that struggles to maintain user trust and deliver a consistently positive experience.",app crashes;double charging;ride-share comparison;safety concerns,,"technical issues with the app, including crashes;double charged for rides;drivers behaving inappropriately or creating uncomfortable situations for passengers;price gouging;unauthorized charges;frequent driver cancellations;poor customer service",,0,7,0,7,0.06363636363636363,123,110
lyft,3,"The quality of drivers varies significantly, affecting the overall satisfaction with each journey. Misleading estimated times of arrival (ETAs) contribute to user frustration, especially when drivers are rerouted or cancel unexpectedly. The app's refund policy is criticized for not being responsive or fair, particularly when dealing with unauthorized charges or double charging. Scheduling rides in advance does not guarantee reliability, as last-minute cancellations by drivers can still occur, leaving users stranded. These concerns are compounded by previous issues such as app crashes, safety worries, price hikes during peak times, and subpar customer service, making it difficult for users to depend on the app for their transportation needs.",driver quality;misleading ETA;refund policy;ride scheduling,,quality of drivers;Misleading estimated times of arrival (ETAs);refund policy;Scheduling rides in advance;app crashes;safety worries;price hikes during peak times;customer service;unauthorized charges;double charging;drivers are rerouted;cancel unexpectedly,,0,12,0,12,0.1111111111111111,124,108
lyft,4,"Inaccuracies in GPS functionality lead to pick-up and drop-off complications, while the process for retrieving lost items is cumbersome and often unsuccessful. Users report discriminatory practices by drivers who refuse rides based on destination or passenger characteristics. The lack of robust accessibility features for disabled individuals further limits the app's usability. These issues add layers to existing complaints about driver quality, misleading ETAs, an unhelpful refund policy, and unreliable ride scheduling. Despite these drawbacks, the app remains a widely used platform for ride-sharing, although it continues to face criticism for its handling of safety incidents, technical stability, pricing strategies during high-demand periods, and overall customer service effectiveness.",GPS accuracy;lost items;discriminatory practices;accessibility features,,"Inaccuracies in GPS functionality lead to pick-up and drop-off complications;retrieving lost items;discriminatory practices by drivers who refuse rides based on destination or passenger characteristics;accessibility features for disabled individuals;driver quality;misleading ETAs;refund policy,;ride scheduling;handling of safety incidents;technical stability;pricing strategies during high-demand;customer service",,0,12,0,12,0.10810810810810811,122,111
lyft,5,"Surge pricing during peak hours leads to unexpectedly high fares, causing budgetary concerns for users. Account suspensions without clear explanations or resolutions create barriers to accessing the service. Communication breakdowns between drivers and passengers exacerbate issues related to pick-up coordination and lost items retrieval. Ride cancellation fees imposed on users when drivers fail to show up or cancel last minute are seen as unfair penalties. These points compound existing frustrations regarding GPS inaccuracy, discriminatory actions by drivers, and inadequate accessibility options. Together with earlier identified problems such as varying driver quality, deceptive ETAs, a problematic refund policy, and challenges with scheduled rides, they underscore the need for significant improvements in the app's operational reliability and customer support.",surge pricing;account suspension;driver communication;ride cancellation fees,,Surge pricing during peak hours;Account suspensions without clear explanations or resolutions;Communication breakdowns between drivers and passengers;pick-up coordination;lost items retrieval;Ride cancellation fees;GPS inaccuracy;discriminatory actions by drivers;accessibility options;driver quality;deceptive ETAs;refund policy;scheduled rides;customer support,,0,14,0,14,0.11864406779661017,131,118
